date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-05-01,19.431,11.231,15.820584,0.0,13.32,19.6,9.25,14.950001,0.0,10.134496,-0.16900063,0.16900063,1.981,1.981,0.87058353,0.87058353,0.0,0.0,3.185504,3.185504
2025-05-02,24.130999,8.731,17.105999,0.5,14.4,25.25,8.1,17.722918,0.2,17.065859,-1.1190014,1.1190014,0.63099957,0.63099957,-0.61691856,0.61691856,0.3,0.3,-2.6658592,2.6658592
2025-05-03,21.531,15.1310005,18.053917,1.1,15.4800005,21.95,13.75,17.472918,6.6,14.98331,-0.41900063,0.41900063,1.3810005,1.3810005,0.5809994,0.5809994,-5.5,5.5,0.49669075,0.49669075
2025-05-04,16.281,10.431001,14.260165,6.7,24.48,16.55,9.3,13.808333,5.0999994,24.13477,-0.2689991,0.2689991,1.1310005,1.1310005,0.45183182,0.45183182,1.6000004,1.6000004,0.3452301,0.3452301
2025-05-05,11.781,7.4309998,9.272667,0.0,17.28,11.25,5.7,8.437501,0.2,14.428097,0.53100014,0.53100014,1.731,1.731,0.835166,0.835166,-0.2,0.2,2.851904,2.851904
2025-05-06,15.331,5.0309997,10.664333,0.0,13.32,14.95,2.5,9.385417,0.0,11.594292,0.38100052,0.38100052,2.5309997,2.5309997,1.2789164,1.2789164,0.0,0.0,1.725708,1.725708
2025-05-07,13.531,5.581,9.4435,0.0,15.4800005,13.7,5.2,9.035418,0.0,17.035456,-0.16899967,0.16899967,0.38100004,0.38100004,0.408082,0.408082,0.0,0.0,-1.5554552,1.5554552
2025-05-08,12.231,3.381,8.28725,0.0,13.32,12.0,1.5,7.1791663,0.0,14.275713,0.23099995,0.23099995,1.881,1.881,1.1080832,1.1080832,0.0,0.0,-0.9557133,0.9557133
2025-05-09,11.481,4.7809997,8.110167,2.6000001,14.04,11.55,3.85,7.833334,2.1,14.045767,-0.069000244,0.069000244,0.93099976,0.93099976,0.27683258,0.27683258,0.50000024,0.50000024,-0.0057668686,0.0057668686
2025-05-10,10.231,7.7809997,8.926833,5.4,18.72,10.15,6.5,8.633332,5.6999993,16.344355,0.08100033,0.08100033,1.2809997,1.2809997,0.2935009,0.2935009,-0.29999924,0.29999924,2.3756447,2.3756447
2025-05-11,14.481,4.081,9.29975,2.9,16.919998,13.05,3.5,8.44375,2.3,10.120098,1.4309998,1.4309998,0.58099985,0.58099985,0.85599995,0.85599995,0.60000014,0.60000014,6.7999,6.7999
2025-05-12,15.081,5.831,10.991417,0.0,12.24,13.95,3.65,9.60625,0.0,12.882267,1.1310005,1.1310005,2.1809998,2.1809998,1.3851671,1.3851671,0.0,0.0,-0.6422672,0.6422672
2025-05-13,16.880999,6.381,12.3914175,0.1,11.879999,16.4,4.05,11.314583,0.3,13.184308,0.480999,0.480999,2.3309999,2.3309999,1.0768347,1.0768347,-0.20000002,0.20000002,-1.3043089,1.3043089
2025-05-14,19.480999,7.731,13.166417,15.4,19.44,19.5,6.3,12.858334,7.0000005,19.56046,-0.019001007,0.019001007,1.4309998,1.4309998,0.30808353,0.30808353,8.4,8.4,-0.1204586,0.1204586
2025-05-15,10.1310005,4.631,7.2268333,0.2,19.8,11.7,3.45,6.854166,2.6,19.228851,-1.5689993,1.5689993,1.181,1.181,0.3726673,0.3726673,-2.3999999,2.3999999,0.5711479,0.5711479
