ts,hour,minute,day_of_week,month,is_weekend,is_peak_hour,demand_mw,rce_pln,gen_wind_mw,gen_solar_mw,gen_coal_mw,gen_renewables_mw,gen_total_mw,renewable_share,flow_pl_de,flow_pl_cz,flow_pl_sk,flow_pl_se,flow_pl_lt,flow_net,market_position_sk,sdac_pln,intraday_rbn_vol,intraday_rbb_vol,crb_cen_cost,crb_ckoeb_cost,co2_pln,oil_usd,temp_forecast,wind_speed_forecast,humidity_forecast,gas_eur,rain_forecast,precipitation_forecast,terrestrial_radiation_forecast,wind_direction_sin,wind_direction_cos
2026-03-27 14:45:00,0.6086956521739131,1.0,0.6666666666666666,0.0,0.0,1.0,0.884232125613789,0.629584543350189,0.30437917569435413,0.5642750721561047,0.369094425159159,0.0,0.3601588560167452,0.5535461500081208,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.1696859380747343,0.5000077621671972,0.2673281589871024,0.27282301059698544,0.6187982168792873,0.8081454975558267,0.2604464796794507,0.9678178963893252,0.610344763998476,0.6333333586745068,0.04166666666666663,0.6257234726688106,0.0,0.0,0.8306574100995808,0.6201541206597544,0.996273075820661
2026-03-27 15:00:00,0.6521739130434783,0.0,0.6666666666666666,0.0,0.0,1.0,0.865712490665288,0.629584543350189,0.30169140319954535,0.5068910293705824,0.3667345247892635,0.0,0.35785438669568265,0.5083836439456697,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.12841054157561055,0.5431731739501671,0.260318253425141,0.2663287917681388,0.6274120228611668,0.8137487554554097,0.2604464796794507,0.9678178963893252,0.6137930526461298,0.6500000101410686,0.04166666666666663,0.6257234726688106,0.0,0.0,0.7986831146025004,0.6201541206597544,0.996273075820661
2026-03-27 15:15:00,0.6521739130434783,0.33333333333333337,0.6666666666666666,0.0,0.0,1.0,0.8760577361612443,0.629584543350189,0.3035123204600236,0.47682643526572105,0.32605860951252197,0.0,0.31813718804212165,0.5067526768256247,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.38820762201498715,0.5083288054024685,0.26183675691124053,0.19919261063208926,0.6244034782171308,0.8066932169512587,0.2604464796794507,0.9678178963893252,0.617241275523148,0.6666666616076303,0.04166666666666663,0.6257234726688106,0.0,0.0,0.7635251466107129,0.6392612499695187,0.9938441702975689
2026-03-27 15:30:00,0.6521739130434783,0.6666666666666667,0.6666666666666666,0.0,0.0,1.0,0.8565218899382491,0.629584543350189,0.2957845871082439,0.42942788496882806,0.36719171459460487,0.0,0.35830412896509617,0.4444027312480861,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.3622900303640074,0.5499650702476133,0.29726257502843934,0.2435770859386998,0.6059215200538206,0.7835802459893848,0.2604464796794507,0.9678178963893252,0.6206895641708017,0.6833333130741921,0.04166666666666663,0.6257234726688106,0.0,0.0,0.7253338037541999,0.6487767562805289,0.9924038765061041
2026-03-27 15:45:00,0.6521739130434783,1.0,0.6666666666666666,0.0,0.0,1.0,0.8667862019072647,0.629584543350189,0.30064576699782236,0.38237957709826037,0.4567249824885997,0.0,0.44573437462640453,0.3740049700665645,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.40428576065084265,0.5690289528836453,0.30958540581440075,0.2993922639812194,0.613020050676844,0.7902577423773983,0.2604464796794507,0.9678178963893252,0.6206895641708017,0.7000000528439351,0.04166666666666663,0.6257234726688106,0.0,0.0,0.6842735540200253,0.6677171605207156,0.9890738003669028
2026-03-27 16:00:00,0.6956521739130435,0.0,0.6666666666666666,0.0,0.0,1.0,0.8544600464005123,0.629584543350189,0.29960097609618164,0.33394655940180906,0.5540200683722794,0.0,0.54074412307566,0.3088069734825421,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.39595729565599946,0.5855701311806257,0.34138406381543285,0.3626011979200947,0.6367708916232309,0.8139920498865874,0.2604464796794507,0.9678178963893252,0.6206895641708017,0.7166667043104968,0.04166666666666663,0.6257234726688106,0.0,0.0,0.6405210676471854,0.6771362890192807,0.9871850323926177
2026-03-27 16:15:00,0.6956521739130435,0.33333333333333337,0.6666666666666666,0.0,0.0,1.0,0.8582827103069055,0.629584543350189,0.29149046269049717,0.28549735888697964,0.5701659464175928,0.0,0.5565062053494547,0.26949333027543454,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.5012179861667063,0.5557013118062565,0.5102225855784903,0.22911867307312572,0.6322533590699605,0.8086133714619376,0.2604464796794507,0.9678178963893252,0.617241275523148,0.7166667043104968,0.04166666666666663,0.6257234726688106,0.0,0.0,0.5942633802284681,0.6771362890192807,0.9871850323926177
2026-03-27 16:30:00,0.6956521739130435,0.6666666666666667,0.6666666666666666,0.0,0.0,1.0,0.8355360535119267,0.629584543350189,0.2864754381859522,0.23694497363973008,0.5739555066688053,0.0,0.5602074312795069,0.23486674351108983,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.6338585729637722,0.6017542497865406,0.5153239683583553,0.38989446894403124,0.616858538670959,0.7892209338014567,0.2604464796794507,0.9678178963893252,0.6137930526461298,0.7000000528439351,0.04166666666666663,0.6257234726688106,0.0,0.0,0.5456993687893161,0.6677171605207156,0.9890738003669028
2026-03-27 16:45:00,0.6956521739130435,1.0,0.6666666666666666,0.0,0.0,1.0,0.8540704505705712,0.629584543350189,0.27207673746853195,0.19341219040919874,0.6225923930833093,0.0,0.6077012216707623,0.19230747077178048,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.7063580500681567,0.6116665372972135,0.5356995277421287,0.5376160073718159,0.5898445113708527,0.7609501208986174,0.2604464796794507,0.9678178963893252,0.6068964753508224,0.7000000528439351,0.04166666666666663,0.6257234726688106,0.0,0.0,0.49503775088092383,0.6677171605207156,0.9890738003669028
2026-03-27 17:00:00,0.7391304347826086,0.0,0.6666666666666666,0.0,0.0,1.0,0.844730267342847,0.629584543350189,0.2746457453017869,0.14368516373082085,0.6307658999848726,0.0,0.655255416533846,0.1547390939604789,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.5647660312583392,0.6941473259334008,0.5841274715321688,0.5167072555343469,0.6441555012040466,0.7902577423773983,0.2604464796794507,0.9678178963893252,0.5999998980555149,0.6833333130741921,0.04166666666666663,0.6257234726688106,0.0,0.0,0.44249577251013705,0.6582630230005073,0.990813591723832
2026-03-27 17:15:00,0.7391304347826086,0.33333333333333337,0.6666666666666666,0.0,0.0,1.0,0.8698722055480347,0.629584543350189,0.26469726775063257,0.1010172365510376,0.6396869498877547,0.0,0.7010415221694574,0.12015239627686305,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.6899724848720888,0.6149499340215789,0.6748586832662387,0.5040040369468395,0.5922934729985476,0.7609501208986174,0.2604464796794507,0.9678178963893252,0.593103386530843,0.6833333130741921,0.04166666666666663,0.6257234726688106,0.0,0.0,0.388298814518423,0.6487767562805289,0.9924038765061041
2026-03-27 17:30:00,0.7391304347826086,0.6666666666666667,0.6666666666666666,0.0,0.0,1.0,0.8528590284549481,0.629584543350189,0.2637123522714834,0.06836655100832058,0.6908985524371527,0.0,0.7512050159718521,0.09593700186113957,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.6311737744408622,0.6174027788558567,0.7022994508984658,0.4423528379297483,0.6215018202166656,0.7677773369365862,0.2604464796794507,0.9678178963893252,0.5896550978831893,0.6833333130741921,0.0625,0.6257234726688106,0.0,0.0,0.33267931012403784,0.6392612499695187,0.9938441702975689
2026-03-27 17:45:00,0.7391304347826086,1.0,0.6666666666666666,0.0,0.0,1.0,0.8756163180984917,0.629584543350189,0.2610502205458356,0.04175814454277604,0.7237741870953123,0.0,0.782950276374659,0.07758081155496324,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.6658174120633821,0.6993479779554453,0.7082189653795514,0.5370894490883958,0.6014291372990375,0.7702027952658647,0.2604464796794507,0.9678178963893252,0.5827585205878819,0.6833333130741921,0.0625,0.6257234726688106,0.0,0.0,0.27587664651676874,0.629719402582878,0.9951340343707852
2026-03-27 18:00:00,0.7826086956521738,0.0,0.6666666666666666,0.0,0.0,1.0,0.8675170812066775,0.629584543350189,0.2664518289546554,0.019982158828043373,0.685798685410788,0.0,0.7694903401730102,0.06807345052555622,0.43461612100325486,0.10329402196014648,0.9999999999999999,0.0,0.40504648074369193,0.42945991676956147,0.6344689183633727,0.7722502522704341,0.7158153501307831,0.568375787094934,0.6757876602513723,0.7902577423773983,0.2604464796794507,0.9678178963893252,0.57586200906321,0.6833333130741921,0.08333333333333326,0.6257234726688106,0.0,0.0,0.2181334418590249,0.6201541206597544,0.996273075820661
