datetime,price,hour,day_of_week,month,is_weekend,is_peak_hour,is_super_peak,hour_sin,hour_cos,dow_sin,dow_cos,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_6h,price_lag_12h,price_lag_24h,price_mean_6h,price_std_6h,price_max_6h,price_min_6h,price_mean_12h,price_std_12h,price_max_12h,price_min_12h,price_mean_24h,price_std_24h,price_max_24h,price_min_24h,price_change_1h,price_change_24h,net_flow,active_connections,avg_flow,temperature,wind_speed,cloud_cover,wind_power_potential
2026-03-03,483.5,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,465.2,452.67,442.91,436.38,148.14,402.33,457.42,15.547974787733557,483.5,442.11,527.4016666666668,163.69760829225976,817.5,344.45,405.6983333333333,205.6650665453456,817.5,141.39,0.03933791917454865,0.20174980737205783,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,465.2,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,452.67,442.91,458.13,425.62,141.39,446.7,449.56666666666666,10.965069387225242,465.2,436.38,499.455,197.09384887316097,817.5,148.14,402.31625,204.9963386059561,817.5,141.39,0.027680208540437734,0.04141481978956785,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,436.38,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,425.62,817.5,787.63,148.14,237.15,606.78,597.3833333333333,216.69705809416672,817.5,344.45,384.3475,266.9413938105993,817.5,141.39,409.39791666666673,209.30867218534627,817.5,141.39,0.02528076688125558,-0.2808266587560565,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,442.91,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,458.13,442.11,436.38,787.63,164.1,462.03,503.77500000000003,154.05469947392064,817.5,425.62,448.22333333333336,240.21512647599613,817.5,141.39,400.1829166666667,204.53796848505354,817.5,141.39,-0.03322201121952273,-0.041382594203839496,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,458.13,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,442.11,436.38,425.62,772.72,191.87,501.2,561.2283333333334,187.47162552414875,817.5,425.62,424.9891666666667,253.87117275064514,817.5,141.39,400.9795833333333,204.74875149545912,817.5,141.39,0.036235326050078065,-0.08593375897845168,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,442.11,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,436.38,425.62,817.5,344.45,220.67,601.08,613.66,196.63826311275227,817.5,425.62,402.8008333333334,262.2099542683768,817.5,141.39,402.77416666666664,205.45896105435807,817.5,141.39,0.013130757596590215,-0.264473946895588,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,486.57,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,464.52,483.5,465.2,458.13,772.72,741.33,465.895,16.98809082857749,486.57,442.91,513.5616666666666,136.3272671207272,817.5,425.62,397.56666666666666,194.33507237146662,817.5,141.39,0.04746835443037978,-0.3436526243373397,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,425.62,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,817.5,787.63,772.72,141.39,272.41,712.21,549.3433333333334,281.7227447450182,817.5,148.14,367.74499999999995,269.5934299003864,817.5,141.39,416.4979166666667,213.11913179944514,817.5,141.39,-0.4793639143730887,-0.4023953609188301,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,464.52,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,483.5,465.2,452.67,442.11,344.45,404.92,461.155,13.718674498653238,483.5,442.91,537.4075,154.9332313156514,817.5,425.62,408.1816666666667,206.01478700973544,817.5,141.39,-0.0392554291623578,0.14718956830978946,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,530.12,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,514.66,504.04,493.3,483.5,436.38,237.15,498.86833333333334,22.86854994674277,530.12,464.52,478.1441666666667,28.568010545279243,530.12,442.11,431.24583333333334,191.74248090051418,817.5,141.39,0.030039249213072772,1.2353784524562514,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
